"","source","target","weight","date"
"100","fa10-01-01","fa10-01-27",0,2010-09-01
"101","fa10-01-01","fa10-01-11",0,2010-09-01
"102","fa10-01-01","sp10-01-30",0,2010-09-01
"103","fa10-01-01","fa10-01-66",0,2010-09-01
"104","fa10-01-01","fa10-01-65",0,2010-09-01
"105","fa10-01-01","fa10-01-26",0,2010-09-01
"106","fa10-01-01","fa10-01-32",0,2010-09-01
"107","fa10-01-01","fa10-01-09",0,2010-09-01
"108","fa10-01-01","fa10-01-25",0,2010-09-01
"109","fa10-01-01","fa10-01-31",0,2010-09-01
"110","fa10-01-01","sp10-01-54",0,2010-09-01
"111","fa10-01-01","fa10-01-34",0,2010-09-01
"112","fa10-01-01","fa10-01-57",0,2010-09-01
"113","fa10-01-01","fa10-01-55",0,2010-09-01
"114","fa10-01-01","fa10-01-30",0,2010-09-01
"115","fa10-01-01","fa10-01-43",0,2010-09-01
"116","fa10-01-01","fa10-01-44",0,2010-09-01
"117","fa10-01-01","fa10-01-62",0,2010-09-01
"118","fa10-01-01","sp10-01-36",0,2010-09-01
"119","fa10-01-01","fa10-01-28",0,2010-09-01
"120","fa10-01-01","fa10-01-29",0,2010-09-01
"121","fa10-01-01","fa10-01-52",0,2010-09-01
"122","fa10-01-01","fa10-01-61",0,2010-09-01
"123","fa10-01-01","fa10-01-56",0,2010-09-01
"124","fa10-01-01","sp10-01-01",0,2010-09-01
"125","fa10-01-02","sp10-01-53",0,2010-09-01
"126","fa10-01-02","sp10-01-38",0,2010-09-01
"127","fa10-01-02","sp10-01-39",0,2010-09-01
"128","fa10-01-02","fa10-01-81",0,2010-09-01
"129","fa10-01-02","fa10-01-78",0,2010-09-01
"130","fa10-01-02","fa10-01-67",0,2010-09-01
"131","fa10-01-02","fa10-01-68",0,2010-09-01
"132","fa10-01-02","fa10-01-73",0,2010-09-01
"133","fa10-01-02","fa10-01-74",0,2010-09-01
"134","fa10-01-02","fa10-01-15",0,2010-09-01
"135","fa10-01-02","fa10-01-19",0,2010-09-01
"136","fa10-01-02","fa10-01-85",0,2010-09-01
"137","fa10-01-02","fa10-01-86",0,2010-09-01
"138","fa10-01-02","sp10-01-24",0,2010-09-01
"139","fa10-01-02","fa10-01-17",1,2010-09-01
"140","fa10-01-02","fa10-01-18",2,2010-09-01
"141","fa10-01-02","fa10-01-04",0,2010-09-01
"142","fa10-01-02","fa10-01-06",0,2010-09-01
"143","fa10-01-02","fa10-01-45",0,2010-09-01
"144","fa10-01-02","sp10-01-13",0,2010-09-01
"145","fa10-01-02","fa10-01-07",0,2010-09-01
"146","fa10-01-02","sp10-01-46",1,2010-09-01
"147","fa10-01-02","sp10-01-44",1,2010-09-01
"148","fa10-01-02","sp10-01-06",0,2010-09-01
"149","fa10-01-02","fa10-01-83",0,2010-09-01
"150","fa10-01-02","fa10-01-14",0,2010-09-01
"151","fa10-01-02","fa10-01-13",0,2010-09-01
"152","fa10-01-02","fa10-01-05",0,2010-09-01
"153","fa10-01-02","fa10-01-75",0,2010-09-01
"154","fa10-01-02","fa10-01-01",7,2010-09-01
"155","fa10-01-02","fa10-01-02",7,2010-09-01
"156","fa10-01-02","fa10-01-20",0,2010-09-01
"157","fa10-01-02","fa10-01-76",0,2010-09-01
"158","fa10-01-02","fa10-01-58",0,2010-09-01
"159","fa10-01-02","fa10-01-21",0,2010-09-01
"160","fa10-01-02","sp10-01-28",0,2010-09-01
"161","fa10-01-02","sp10-01-26",0,2010-09-01
"162","fa10-01-02","sp10-01-55",0,2010-09-01
"163","fa10-01-02","sp10-01-05",0,2010-09-01
"164","fa10-01-02","sp10-01-35",0,2010-09-01
"165","fa10-01-02","fa10-01-35",0,2010-09-01
"166","fa10-01-02","fa10-01-40",0,2010-09-01
"167","fa10-01-02","fa10-01-60",0,2010-09-01
"168","fa10-01-02","sp10-01-23",0,2010-09-01
"169","fa10-01-02","sp10-01-11",0,2010-09-01
"170","fa10-01-02","sp10-01-12",0,2010-09-01
"171","fa10-01-02","sp10-01-07",0,2010-09-01
"172","fa10-01-02","sp10-01-08",0,2010-09-01
"173","fa10-01-02","fa10-01-24",0,2010-09-01
"174","fa10-01-02","fa10-01-39",0,2010-09-01
"175","fa10-01-02","sp10-01-19",0,2010-09-01
"176","fa10-01-02","sp10-01-34",0,2010-09-01
"177","fa10-01-02","fa10-01-69",0,2010-09-01
"178","fa10-01-02","sp10-01-32",1,2010-09-01
"179","fa10-01-02","sp10-01-42",2,2010-09-01
"180","fa10-01-02","sp10-01-40",0,2010-09-01
"181","fa10-01-02","sp10-01-41",0,2010-09-01
"182","fa10-01-02","sp10-01-37",0,2010-09-01
"183","fa10-01-02","fa10-01-48",1,2010-09-01
"184","fa10-01-02","fa10-01-47",0,2010-09-01
"185","fa10-01-02","fa10-01-59",0,2010-09-01
"186","fa10-01-02","fa10-01-10",0,2010-09-01
"187","fa10-01-02","fa10-01-33",0,2010-09-01
"188","fa10-01-02","fa10-01-77",0,2010-09-01
"189","fa10-01-02","sp10-01-22",0,2010-09-01
"190","fa10-01-02","fa10-01-16",0,2010-09-01
"191","fa10-01-02","fa10-01-36",0,2010-09-01
"192","fa10-01-02","fa10-01-08",0,2010-09-01
"193","fa10-01-02","fa10-01-46",0,2010-09-01
"194","fa10-01-02","fa10-01-41",0,2010-09-01
"195","fa10-01-02","fa10-01-22",0,2010-09-01
"196","fa10-01-02","sp10-01-25",0,2010-09-01
"197","fa10-01-02","fa10-01-51",0,2010-09-01
"198","fa10-01-02","fa10-01-23",0,2010-09-01
"199","fa10-01-02","sp10-01-18",0,2010-09-01
"200","fa10-01-02","fa10-01-12",0,2010-09-01
"201","fa10-01-02","fa10-01-64",0,2010-09-01
"202","fa10-01-02","sp10-01-52",0,2010-09-01
"203","fa10-01-02","sp10-01-31",0,2010-09-01
"204","fa10-01-02","sp10-01-45",0,2010-09-01
"205","fa10-01-02","fa10-01-70",0,2010-09-01
"206","fa10-01-02","fa10-01-63",0,2010-09-01
"207","fa10-01-02","sp10-01-56",0,2010-09-01
"208","fa10-01-02","fa10-01-54",0,2010-09-01
"209","fa10-01-02","fa10-01-72",0,2010-09-01
"210","fa10-01-02","fa10-01-03",0,2010-09-01
"211","fa10-01-02","fa10-01-38",1,2010-09-01
"212","fa10-01-02","fa10-01-37",1,2010-09-01
"213","fa10-01-02","sp10-01-49",0,2010-09-01
"214","fa10-01-02","sp10-01-48",0,2010-09-01
"215","fa10-01-02","fa10-01-53",0,2010-09-01
"216","fa10-01-02","sp10-01-02",0,2010-09-01
"217","fa10-01-02","fa10-01-49",0,2010-09-01
"218","fa10-01-02","sp10-01-43",0,2010-09-01
"219","fa10-01-02","sp10-01-33",0,2010-09-01
"220","fa10-01-02","fa10-01-71",0,2010-09-01
"221","fa10-01-02","fa10-01-50",0,2010-09-01
"222","fa10-01-02","fa10-01-42",0,2010-09-01
"223","fa10-01-02","fa10-01-82",0,2010-09-01
"224","fa10-01-02","fa10-01-27",0,2010-09-01
"225","fa10-01-02","fa10-01-11",0,2010-09-01
"226","fa10-01-02","sp10-01-30",0,2010-09-01
"227","fa10-01-02","fa10-01-66",0,2010-09-01
"228","fa10-01-02","fa10-01-65",0,2010-09-01
"229","fa10-01-02","fa10-01-26",0,2010-09-01
"230","fa10-01-02","fa10-01-32",0,2010-09-01
"231","fa10-01-02","fa10-01-09",0,2010-09-01
"232","fa10-01-02","fa10-01-25",0,2010-09-01
"233","fa10-01-02","fa10-01-31",0,2010-09-01
"234","fa10-01-02","sp10-01-54",0,2010-09-01
"235","fa10-01-02","fa10-01-34",0,2010-09-01
"236","fa10-01-02","fa10-01-57",0,2010-09-01
"237","fa10-01-02","fa10-01-55",0,2010-09-01
"238","fa10-01-02","fa10-01-30",0,2010-09-01
"239","fa10-01-02","fa10-01-43",0,2010-09-01
"240","fa10-01-02","fa10-01-44",0,2010-09-01
"241","fa10-01-02","fa10-01-62",0,2010-09-01
"242","fa10-01-02","sp10-01-36",0,2010-09-01
"243","fa10-01-02","fa10-01-28",0,2010-09-01
"244","fa10-01-02","fa10-01-29",0,2010-09-01
"245","fa10-01-02","fa10-01-52",0,2010-09-01
"246","fa10-01-02","fa10-01-61",0,2010-09-01
"247","fa10-01-02","fa10-01-56",0,2010-09-01
"248","fa10-01-02","sp10-01-01",0,2010-09-01
"249","fa10-01-03","sp10-01-53",1,2010-09-01
"250","fa10-01-03","sp10-01-38",0,2010-09-01
"251","fa10-01-03","sp10-01-39",0,2010-09-01
"252","fa10-01-03","fa10-01-81",0,2010-09-01
"253","fa10-01-03","fa10-01-78",0,2010-09-01
"254","fa10-01-03","fa10-01-67",0,2010-09-01
"255","fa10-01-03","fa10-01-68",0,2010-09-01
"256","fa10-01-03","fa10-01-73",0,2010-09-01
"257","fa10-01-03","fa10-01-74",0,2010-09-01
"258","fa10-01-03","fa10-01-15",0,2010-09-01
"259","fa10-01-03","fa10-01-19",0,2010-09-01
"260","fa10-01-03","fa10-01-85",0,2010-09-01
"261","fa10-01-03","fa10-01-86",0,2010-09-01
"262","fa10-01-03","sp10-01-24",5,2010-09-01
"263","fa10-01-03","fa10-01-17",0,2010-09-01
"264","fa10-01-03","fa10-01-18",0,2010-09-01
"265","fa10-01-03","fa10-01-04",7,2010-09-01
"266","fa10-01-03","fa10-01-06",0,2010-09-01
"267","fa10-01-03","fa10-01-45",0,2010-09-01
"268","fa10-01-03","sp10-01-13",1,2010-09-01
"269","fa10-01-03","fa10-01-07",0,2010-09-01
"270","fa10-01-03","sp10-01-46",0,2010-09-01
"271","fa10-01-03","sp10-01-44",2,2010-09-01
"272","fa10-01-03","sp10-01-06",0,2010-09-01
"273","fa10-01-03","fa10-01-83",0,2010-09-01
"274","fa10-01-03","fa10-01-14",0,2010-09-01
"275","fa10-01-03","fa10-01-13",0,2010-09-01
